"BADUNG","Freq"
"Accessory fruit",1
"Action figure",1
"African elephant",1
"Aguas frescas",1
"Air gun",1
"Air show",1
"Aircraft engine",1
"Aisle",1
"Akita",1
"Al dente",1
"Algae",1
"All-terrain vehicle",1
"Alligator",1
"Allium",1
"Almond milk",1
"Aluminium",1
"Aluminum can",1
"Amaryllis family",1
"Amazake",1
"American alligator",1
"American crocodile",1
"Analog synthesizer",1
"Analog watch",1
"Ancient dog breeds",1
"Angling",1
"Animal fat",1
"Animal sports",1
"Anime",1
"Anticuchos",1
"Antipasto",1
"Antique car",1
"Antler",1
"Arabian mau",1
"Arancini",1
"Arena",1
"Argiope",1
"Art exhibition",1
"Art gallery",1
"Artificial island",1
"Asclepiadoideae",1
"Asian soups",1
"Atlantic canary",1
"Atlantic spanish mackerel",1
"Attic",1
"Audio equipment",1
"Auditorium",1
"Automotive mirror",1
"Autumn",1
"Baby in car seat",1
"Bachelorette party",1
"Baggage",1
"Baguette",1
"Balloon",1
"Baluster",1
"Balut",1
"Banana leaf",1
"Banana leaf rice",1
"Bangers and mash",1
"Bánh khoai mì",1
"Banknote",1
"Barbecue chicken",1
"Barbed wire",1
"Barista",1
"Barquentine",1
"Baseball cap",1
"Basil",1
"Bay breeze",1
"Bayou",1
"Beach soccer",1
"Beacon",1
"Beef stroganoff",1
"Beer bread",1
"Beer glass",1
"Beige",1
"Beverage can",1
"Bia hoi",1
"Bicycle accessory",1
"Bicycle clothing",1
"Bicycle frame",1
"Billboard",1
"Biome",1
"Bivalve",1
"Black cat",1
"Block party",1
"Blossom",1
"Bomb vessel",1
"Book cover",1
"Bottle cap",1
"Boutique",1
"Bovine",1
"Bowed string instrument",1
"Bowling",1
"Boza",1
"Brambling",1
"Brass",1
"Bratwurst",1
"Bread pudding",1
"Bridal accessory",1
"Bridal clothing",1
"Brochette",1
"Bronze",1
"Broth",1
"Brown hair",1
"Buffalo burger",1
"Bug",1
"Buoyancy compensator",1
"Burasa",1
"Butorides",1
"Buttercream",1
"Cabin",1
"Cable",1
"Caipiroska",1
"Calabaza",1
"Camouflage",1
"Camping",1
"Canal",1
"Canary",1
"Canh chua",1
"Car seat",1
"Caravel",1
"Carbonara",1
"Cardboard",1
"Caridean shrimp",1
"Carousel",1
"Carton",1
"Cash",1
"Casting (fishing)",1
"Cattleya",1
"Celestial event",1
"Ceramic",1
"Ceviche",1
"Chainsaw carving",1
"Chaise longue",1
"Chandelier",1
"Chaparral",1
"Chapati",1
"Chapel",1
"Char kway teow",1
"Cheering",1
"Cheeseburger",1
"Chess",1
"Chest of drawers",1
"Chiavari chair",1
"Chicken tikka",1
"Chinese herb tea",1
"Chocolate",1
"Chocolate bar",1
"Choreography",1
"Chow mein",1
"Christmas tree",1
"Chrysopogon zizanioides",1
"Church",1
"Ciambella",1
"Cider doughnut",1
"Citrus",1
"Clam",1
"Classic car",1
"Classic cocktail",1
"Club",1
"Cobalt blue",1
"Cobblestone",1
"Cockroach",1
"Coddle",1
"Coffeemaker",1
"Cola",1
"Comics",1
"Compact van",1
"Company",1
"Competition",1
"Compost",1
"Computer desk",1
"Confectionery",1
"Construction",1
"Convention",1
"Convention center",1
"Cooking oil",1
"Cookware and bakeware",1
"Copper",1
"Cornrows",1
"Cortado",1
"Corunda",1
"Costume design",1
"Cotoletta",1
"Couscous",1
"Crater lake",1
"Crawling",1
"Crispy fried chicken",1
"Crock",1
"Crocodile",1
"Crocodilia",1
"Crocus",1
"Crudo",1
"Crustacean",1
"Crypt",1
"Cuban food",1
"Cucurbita",1
"Cumberland sausage",1
"Currency",1
"Curry mee",1
"Customer",1
"Cutlery",1
"Cutlet",1
"Cycle sport",1
"Cylinder",1
"Dairy",1
"Daisy family",1
"Decanter",1
"Decapoda",1
"Deep frying",1
"Deer",1
"desert rose",1
"Diagram",1
"Dining room",1
"Dip",1
"Diving mask",1
"Dog walking",1
"Doll",1
"Dollar",1
"Dondurma",1
"Door handle",1
"Doughnut",1
"Dragon lizard",1
"Dreadlocks",1
"Drinking straw",1
"Drum",1
"Drummer",1
"Duvet",1
"Earl grey tea",1
"Eel",1
"Egg yolk",1
"Egret",1
"Elbow",1
"Electric blue",1
"Electric car",1
"Electronic component",1
"Electronics accessory",1
"Elevator",1
"Elk",1
"Emergency light",1
"Employment",1
"End table",1
"Endurance sports",1
"Energy bar",1
"Energy drink",1
"Engineering",1
"Equestrianism",1
"Escargot",1
"Espressino",1
"Explosion",1
"Eyelash",1
"Falafel",1
"Falconiformes",1
"Falooda",1
"Farmer",1
"Farmhouse",1
"Feather",1
"Feature phone",1
"Feeder fish",1
"Fender",1
"Fern",1
"Ferns and horsetails",1
"Ferrari testarossa",1
"Feta",1
"Fish fry",1
"Fish head curry",1
"Fisherman",1
"Fishing net",1
"Fishing rod",1
"Fishing trawler",1
"Flagship",1
"Flamiche",1
"Flamingo",1
"Flare",1
"Flea market",1
"Fly",1
"Fly fishing",1
"Foam",1
"Forage fish",1
"Fork",1
"Fox squirrel",1
"Fox terrier",1
"Frankfurter würstchen",1
"Freestyle walking",1
"Freezing",1
"Frittata",1
"Fritter",1
"Frost",1
"Fruit salad",1
"Fungus",1
"G<U+1ECF>i cu<U+1ED1>n",1
"Gamelan",1
"Garden roses",1
"Gate",1
"Gecko",1
"Gelato",1
"General aviation",1
"Gerbera",1
"Gift basket",1
"Glacial lake",1
"Goat cheese",1
"Goggles",1
"Golf course",1
"Graham bread",1
"Grapefruit",1
"Gravel",1
"Gravure idol",1
"Gravy",1
"Great egret",1
"Greek salad",1
"Green algae",1
"Green heron",1
"Green sea turtle",1
"Grey",1
"Grey squirrel",1
"Gringas",1
"ground squirrels",1
"Guenon",1
"Guitar",1
"Guitarist",1
"Gun",1
"Hair accessory",1
"Hair care",1
"Hair coloring",1
"Haleem",1
"Hall",1
"Hamper",1
"Hangar",1
"Harvest",1
"Hash browns",1
"Hawaiian food",1
"Hawk",1
"Headpiece",1
"Health shake",1
"Herbaceous plant",1
"Herring",1
"Hollandaise sauce",1
"Home accessories",1
"Home automation",1
"Home door",1
"Honda zest",1
"Hood",1
"Hoodie",1
"Horchata",1
"Horse",1
"Hot chocolate",1
"Hot rod",1
"Household silver",1
"Hug",1
"Hula",1
"Hybrid bicycle",1
"Ice",1
"Ice cream",1
"Iced coffee",1
"Icon",1
"Iguana",1
"Iguanidae",1
"Indian cobra",1
"Indian cuisine",1
"Industry",1
"Intrusion",1
"Inventory",1
"Invitation",1
"Ipad",1
"Ivy",1
"Jack-o'-lantern",1
"Jacket",1
"Jackup rig",1
"Japanese idol",1
"Jasmine",1
"Jazz",1
"Jazz club",1
"Jeongol",1
"Jet engine",1
"Job",1
"Kabsa",1
"Karaage",1
"Kayak",1
"Kayaking",1
"Kemp's ridley sea turtle",1
"Key lime",1
"Keyboard",1
"Kilt",1
"Kinkajou",1
"Kiss",1
"Kitchen & dining room table",1
"Kitchen appliance",1
"Korat",1
"Korokke",1
"Kreplach",1
"Kung fu",1
"Kushikatsu",1
"Labrador retriever",1
"Lace wig",1
"Lacerta",1
"Lagoon",1
"Lake district",1
"Laksa",1
"Lamian",1
"Lamp",1
"Laotian cuisine",1
"Lap",1
"Laser guns",1
"Lassi",1
"Latte",1
"Laugh",1
"Lcd tv",1
"Leash",1
"Lechona",1
"Lei",1
"Lens cap",1
"Lens flare",1
"Lettuce",1
"Lifejacket",1
"Light aircraft",1
"Lighthouse",1
"Limestone",1
"Liquid",1
"Little Brown Myotis",1
"Little egret",1
"Little red flying fox",1
"Lobster",1
"Loggerhead sea turtle",1
"Long-distance running",1
"Lotus",1
"Loudspeaker",1
"Lugger",1
"Lumpia",1
"Lupis",1
"Lymnaeidae",1
"Macedonia",1
"Manakish",1
"Mannequin",1
"Marathon",1
"Marsh",1
"Masala",1
"Mason jar",1
"Massaman curry",1
"Mast",1
"Mattress pad",1
"Mausoleum",1
"Meal, ready-to-eat",1
"Measuring instrument",1
"Medieval architecture",1
"Meditation",1
"Megalith",1
"Membrane-winged insect",1
"Menchi-katsu",1
"Meze",1
"Microphone",1
"Microvan",1
"Mie goreng",1
"Military",1
"Milkweed",1
"Mini SUV",1
"Minibus",1
"Mist",1
"Mocaccino",1
"Mochi",1
"Modem",1
"Moisture meter",1
"Molding",1
"Molluscs",1
"Monastery",1
"Money",1
"Money handling",1
"Mongolian food",1
"Moped",1
"Motocross",1
"Motor ship",1
"Motorcycle speedway",1
"Motorsport",1
"Movie",1
"Mudflat",1
"Museum",1
"Musical keyboard",1
"N<U+1ED9>m",1
"Naan",1
"Nacatamal",1
"Nachos",1
"Nail",1
"Napkin",1
"Narrows",1
"Nasi kandar",1
"Navel",1
"Nepalese cuisine",1
"Net",1
"Netbook",1
"New year",1
"Newspaper",1
"Newsprint",1
"Nightingale",1
"Nightshade family",1
"Nile crocodile",1
"Norrbottenspets",1
"Norwegian lundehund",1
"Novel",1
"Number",1
"Ocean liner",1
"Office",1
"Office equipment",1
"Oil lamp",1
"Onion",1
"Orb-weaver spider",1
"Ostrich fern",1
"Outdoor bench",1
"Outdoor structure",1
"Oven bag",1
"Overpass",1
"Owl",1
"Oxygen mask",1
"Oyster",1
"Parachuting",1
"Parade",1
"Parrotfish",1
"Party supply",1
"Pastry",1
"Paw",1
"Peach",1
"Pedestrian crossing",1
"Percussion",1
"Performance car",1
"Persian lime",1
"Phat si io",1
"Piano",1
"Picnic",1
"Picnic table",1
"Pigeons and doves",1
"Pint",1
"Pit cave",1
"Plane",1
"Plaster",1
"Plastic",1
"Plastic bag",1
"Plastic bottle",1
"Player",1
"Plucked string instruments",1
"Plush",1
"Pomeranian",1
"Pool",1
"Pork belly",1
"Pork steak",1
"Portrait",1
"Poutine",1
"Prairie",1
"Present",1
"Procyonidae",1
"Profiterole",1
"Propeller",1
"Prophet",1
"Pumpkin",1
"Punch",1
"Punjabi cuisine",1
"Purple mangosteen",1
"Quesadilla",1
"Quiche",1
"Racing bicycle",1
"Rafeiro do alentejo",1
"Rambutan",1
"Ranat",1
"Ravine",1
"Reading",1
"Rear-view mirror",1
"Rebellion",1
"Recycling",1
"Red curry",1
"Red wine",1
"Refried beans",1
"Refrigerator",1
"Rein",1
"Reindeer",1
"Rejoicing",1
"Religious item",1
"Rest area",1
"Retriever",1
