"BULELENG","Freq"
"Abdomen",1
"Aerospace engineering",1
"African elephant",1
"Agricultural machinery",1
"Air travel",1
"Airline",1
"Airplane",1
"Algae",1
"Alstroemeriaceae",1
"Amaranth family",1
"Amaryllis family",1
"angel's trumpets",1
"Angel’s Tear",1
"Anguidae",1
"Animated cartoon",1
"Anime",1
"Annona",1
"Antique",1
"appetizer",1
"Aqua",1
"Arachnid",1
"Araneus cavaticus",1
"Arroyo",1
"Artifact",1
"Artocarpus",1
"Artwork",1
"Arum",1
"Arum family",1
"Astronomy",1
"Attic",1
"Audio engineer",1
"Aviation",1
"Azalea",1
"Baccaurea ramiflora",1
"Back",1
"Backlighting",1
"Baked goods",1
"Banana leaf",1
"Bar",1
"Barbary fig",1
"Barber",1
"Barefoot",1
"Basket",1
"Bathroom",1
"Bayou",1
"Beach moonflower",1
"Beam",1
"Bed frame",1
"Bed sheet",1
"Bedding",1
"bee eater",1
"Beer bottle",1
"Bell peppers and chili peppers",1
"Bellflower family",1
"Berry",1
"Bicycle helmet",1
"Bicycle pedal",1
"Bicycle wheel",1
"Bicycles--Equipment and supplies",1
"Bigtree",1
"Bikini",1
"Birch",1
"Birch family",1
"Bird's eye chili",1
"Bird feeder",1
"Bird nest",1
"Bishop",1
"Blue-collar worker",1
"Blue jay",1
"Bluebird",1
"Boardsport",1
"Bonnet",1
"Bonsai",1
"Boomerang",1
"Border collie",1
"Bougainvillea",1
"Boulder",1
"Bourbon ball",1
"Brain coral",1
"Breakwater",1
"Bridal clothing",1
"Bride",1
"Bromeliaceae",1
"Broomrape",1
"Broomrape family",1
"Brown",1
"Brown snake",1
"Bucket",1
"Bud",1
"buddleia",1
"Buffet",1
"bulrush",1
"Bushmeat",1
"Cabinetry",1
"Cactus",1
"Caesalpinia",1
"Calamondin",1
"Calidrid",1
"California live oak",1
"Camelid",1
"Canada columbine",1
"Canal",1
"Cancridae",1
"Canna lily",1
"Cannon",1
"Canopy",1
"Carpenter",1
"Cartoon",1
"Cash",1
"Cash crop",1
"Castle",1
"Cayenne pepper",1
"Celestial event",1
"Cempedak",1
"Cg artwork",1
"Château",1
"Chest",1
"Chickadee",1
"Chicken coop",1
"Child model",1
"Chili pepper",1
"Chinese hibiscus",1
"Chocolate",1
"Chocolate brownie",1
"Chopper",1
"Circle",1
"City car",1
"Clothes hanger",1
"Clover",1
"Cnidaria",1
"Coca",1
"Cocktail",1
"Cocktail garnish",1
"Collage",1
"Collection",1
"Colubridae",1
"Column",1
"Commemorative plaque",1
"Compact mpv",1
"Compact van",1
"Composite material",1
"Concrete",1
"Confetti",1
"Continental shelf",1
"Cooking plantain",1
"Coral fungus",1
"coral honeysuckle",1
"Cornales",1
"Costa Rican cuisine",1
"Costume accessory",1
"Costus family",1
"Countertop",1
"Cream",1
"Creek",1
"Crocodile",1
"Crocodilia",1
"Cross",1
"Crucifix",1
"Culinary art",1
"Curcuma",1
"Daphne",1
"Dastar",1
"Datura",1
"Deep sea fish",1
"Dinner",1
"Display case",1
"Dog supply",1
"Doghouse",1
"Domestic rabbit",1
"Dowitcher",1
"Downhill mountain biking",1
"Dragon boat",1
"Drinking",1
"Drop",1
"Dry suit",1
"Ducks, geese and swans",1
"Dungeness crab",1
"Durian",1
"Echinoderm",1
"Edelweiss",1
"Eel",1
"Electrical supply",1
"Electricity",1
"Electronics",1
"Emberizidae",1
"Energy drink",1
"english marigold",1
"Entertainment",1
"Erosion",1
"Escarpment",1
"Family car",1
"Fan",1
"Farmhouse",1
"Fence",1
"Fern",1
"Ferns and horsetails",1
"Fête",1
"Filling station",1
"Fizz",1
"Flag",1
"Flatbread",1
"Flip (acrobatic)",1
"Flood",1
"Flower Arranging",1
"Flowerpot",1
"Fluid",1
"Foal",1
"Four o'clock family",1
"frangipani",1
"Freshwater crab",1
"Fried egg",1
"Frutti di bosco",1
"Galaxy",1
"Gamelan",1
"Gas",1
"Gasoline",1
"Gauge",1
"Gesneriad family",1
"Goggles",1
"Goldfish",1
"Goose",1
"Gown",1
"Graphic design",1
"Graphics",1
"Grass snake",1
"Green sea turtle",1
"Greengage",1
"Grevillea",1
"Groundcover",1
"Guava",1
"Guenon",1
"Guru",1
"Hacienda",1
"Hair accessory",1
"Hair gel",1
"Hairdresser",1
"Halter",1
"Harbor",1
"Harvest",1
"Hatchback",1
"Headband",1
"Headpiece",1
"Heart",1
"Herb",1
"Herbaceous plant",1
"Hermit crab",1
"Hibiscus",1
"High school",1
"Highball glass",1
"Hiking equipment",1
"Historic house",1
"Honda",1
"Horse",1
"Hostel",1
"Hot sauce",1
"Hotel",1
"House sparrow",1
"Hula",1
"Human body",1
"Hummingbird",1
"Hydrangea",1
"Idiophone",1
"Igneous rock",1
"Iguana",1
"Indian rhinoceros",1
"Individual sports",1
"Inflatable",1
"Inventory",1
"Jacamar",1
"Jasmine",1
"Jumping",1
"Junk food",1
"Kennel",1
"Kiss",1
"Kitchen",1
"Kite",1
"Labyrinth",1
"Lalab",1
"langur",1
"Laptop",1
"Leaf vegetable",1
"Least Sandpiper",1
"Light commercial vehicle",1
"Light fixture",1
"Lighting accessory",1
"Lilac",1
"Lime",1
"Line",1
"Living room",1
"Llama",1
"Log bridge",1
"Log cabin",1
"Loggerhead sea turtle",1
"Long-tail boat",1
"Loosestrife and pomegranate family",1
"Lotion",1
"Lumber",1
"Luxury vehicle",1
"Macaroon",1
"Majorette (dancer)",1
"Malagueta pepper",1
"Mallow family",1
"Malvales",1
"Mane",1
"Manilkara",1
"Mantis shrimp",1
"Map",1
"Marching band",1
"Mardi Gras",1
"Marina",1
"Marmoset",1
"Marriage",1
"Marsh",1
"Marsupial",1
"Mattress",1
"Mausoleum",1
"Measuring instrument",1
"Meat",1
"Meeting",1
"Membranophone",1
"Meter",1
"Metropolitan bishop",1
"mexican petunia",1
"Microvan",1
"Mid-size car",1
"Middle ages",1
"Milkshake",1
"millipedes",1
"Mineral",1
"Moisture",1
"Money",1
"Moonlight",1
"Motor ship",1
"Motorcycle helmet",1
"Mound-building termites",1
"Mountain biking",1
"Mountain Bluebird",1
"Mountain pass",1
"Mountain village",1
"Mountaineer",1
"Mud",1
"Mudflat",1
"Mural",1
"Mushroom",1
"Music",1
"Musk deer",1
"Mythical creature",1
"Naan",1
"Nameplate",1
"Needlework",1
"Nightshade family",1
"Non-alcoholic beverage",1
"Non-vascular land plant",1
"Northern hardwood forest",1
"Northern Seahorse",1
"octopus",1
"Octopus",1
"Ocypodidae",1
"Odometer",1
"Orb-weaver spider",1
"Ortolan bunting",1
"Ostrich fern",1
"Outdoor recreation",1
"Pacific rhododendron",1
"Pack animal",1
"paddlewheel",1
"Party supply",1
"Peddler",1
"Pedicel",1
"People on beach",1
"Peperoncini",1
"Pequi",1
"Percussion",1
"Percussionist",1
"Pest",1
"Photo shoot",1
"Physical fitness",1
"Piciformes",1
"Pier",1
"Pilotfish",1
"Pine family",1
"Pink family",1
"Pittosporaceae",1
"Plaid",1
"Plane",1
"Plaster",1
"Player",1
"Plucked string instruments",1
"Plywood",1
"Pollen",1
"Port",1
"Portrait photography",1
"Poster",1
"Pottery",1
"Praline",1
"Pray",1
"Prickly pear",1
"Printing",1
"Procyonidae",1
"Propane",1
"Public transport",1
"Public utility",1
"Rabbit",1
"Rabbits and Hares",1
"Rafeiro do alentejo",1
"Rambutan",1
"Ray-finned fish",1
"red-backed sandpiper",1
"Red bull",1
"Rein",1
"Rhinoceros",1
"Rhododendron catawbiense",1
"Rice",1
"Rickshaw",1
"Rim",1
"Road bicycle",1
"Rock crab",1
"Root",1
"Root vegetable",1
"Rust",1
"Rye",1
"Saba banana",1
"Sageretia theezans",1
"Sandpiper",1
"Sapodilla",1
"Satay",1
"Sate kambing",1
"Sauces",1
"Scarf",1
"Scarlet beebalm",1
"Scene",1
"Science",1
"Scooter",1
"Sculptor",1
