"DENPASAR","Freq"
"Aburaage",1
"Academic conference",1
"Acoustic guitar",1
"Adventure",1
"Agriculture",1
"Air sports",1
"Aircraft",1
"Airliner",1
"Al dente",1
"Alcoholic beverage",1
"Alley",1
"Alstroemeriaceae",1
"Altar",1
"Aluminum can",1
"Ammonoidea",1
"Ananas",1
"anemone fish",1
"Animated cartoon",1
"Animation",1
"Ankle",1
"appetizer",1
"Arch bridge",1
"Archaeological site",1
"Art gallery",1
"Arthropod",1
"Artificial island",1
"Artistic gymnastics",1
"Athletics",1
"Audio equipment",1
"Aviation",1
"Baby bathing",1
"Baby Products",1
"Baby sleeping",1
"Bakwan",1
"Balance",1
"Ball",1
"Ball game",1
"Ballet",1
"Banana family",1
"Banana leaf",1
"Bangle",1
"Bangs",1
"Banknote",1
"Bar",1
"Barefoot",1
"Barquentine",1
"Baseball equipment",1
"Bathroom",1
"Bathtub",1
"Batting helmet",1
"Beach volleyball",1
"Bead",1
"Beagle",1
"Bed frame",1
"Bedtime",1
"Beige",1
"Beverage can",1
"Bicycle fork",1
"Bicycle helmet",1
"Bicycle pedal",1
"Bicycles--Equipment and supplies",1
"Billboard",1
"Biome",1
"Bird supply",1
"Black drink",1
"Black forest cake",1
"Blackboard",1
"Blow torch",1
"Board game",1
"Body jewelry",1
"Boerboel",1
"Book",1
"Book cover",1
"Borassus flabellifer",1
"Bougainvillea",1
"Boulder",1
"Bovine",1
"Bow tie",1
"Box",1
"Bracelet",1
"Brand",1
"Brandade",1
"Brass",1
"Brochure",1
"Bromeliaceae",1
"Bronze",1
"Broom",1
"Brown bread",1
"Brush-footed butterfly",1
"Bulldog",1
"Bunk bed",1
"Buttercream",1
"Butterfly",1
"Byzantine architecture",1
"Cable",1
"Caesalpinia",1
"Cafeteria",1
"Caipirinha",1
"Cake decorating",1
"Candy corn",1
"Cannon",1
"Canopy",1
"Canyoning",1
"Carbonara",1
"Card game",1
"Carne asada",1
"Carpet",1
"Carriage",1
"Cart",1
"Cartilaginous fish",1
"Cash",1
"Casino",1
"Cat supply",1
"Cave",1
"Caving",1
"Cellophane noodles",1
"Cephalopod",1
"Cg artwork",1
"Chain",1
"Chambered nautilus",1
"Champagne stemware",1
"Champurrado",1
"Chandelier",1
"Channel",1
"Chapel",1
"Chariot",1
"Cheering",1
"Cheeseburger",1
"Cherimoya",1
"Chess",1
"Chessboard",1
"Chicken",1
"Chicken meat",1
"Chihuahua",1
"Child art",1
"Chiropractor",1
"Chocolate cake",1
"Choir",1
"Chrysanths",1
"Chute",1
"Class",1
"clownfish",1
"Cobalt blue",1
"Cockatoo",1
"Coconut water",1
"Coffeemaker",1
"Coleslaw",1
"Colorado spruce",1
"Colorfulness",1
"Com t<U+1EA5>m",1
"Comb",1
"Comedy",1
"Comfort",1
"Company",1
"Compass",1
"Concert",1
"Cone",1
"Conifer",1
"Convenience store",1
"Cooking",1
"Coral",1
"Coral reef fish",1
"Cornish rex",1
"Costa Rican cuisine",1
"Costume design",1
"Costus family",1
"Couch",1
"Cowboy hat",1
"Craft",1
"Crane",1
"Crocus",1
"Crown",1
"Cruise ship",1
"Cruiseferry",1
"Cuban espresso",1
"Cucumber",1
"Cucumis",1
"Cupboard",1
"Cupcake",1
"Currency",1
"Cushion",1
"Dai pai dong",1
"Dairy",1
"Dairy cow",1
"Dal",1
"Dalmatian",1
"Daphne",1
"Daydream",1
"Deep sea fish",1
"Denim",1
"Digital camera",1
"Display device",1
"Diving",1
"Diving regulator",1
"Document",1
"Dog walking",1
"Dogbane family",1
"Dogo argentino",1
"Dollhouse",1
"Domestic pig",1
"Dondurma",1
"Dragon",1
"Dragon boat",1
"Dragonfly",1
"Dress shirt",1
"Drifting",1
"Drip coffee maker",1
"Dry suit",1
"Earl grey tea",1
"Easter",1
"Easter egg",1
"Eel",1
"Egyptian mau",1
"Electric blue",1
"Elephant",1
"Elephants and Mammoths",1
"Emblem",1
"Ensete",1
"Epidendrum",1
"Espresso machine",1
"Everyday carry",1
"Exercise",1
"Falooda",1
"Fan",1
"Farm",1
"Fashion design",1
"Fedora",1
"Fender",1
"Fiction",1
"Field",1
"Fig",1
"Figure drawing",1
"Figurine",1
"Fila brasileiro",1
"Film camera",1
"Film crew",1
"Finnish spitz",1
"Fir",1
"Fish pond",1
"Fishing vessel",1
"Fixed link",1
"Flame",1
"Flamenco",1
"Flap",1
"Flare",1
"Flash photography",1
"Flautist",1
"Flight",1
"Flip-flops",1
"Floats",1
"Floodplain",1
"Flute",1
"Fly",1
"Fondant",1
"Food truck",1
"Football",1
"Football player",1
"Foundation",1
"Fountain",1
"Fowl",1
"Fox squirrel",1
"Frappé coffee",1
"Freediving",1
"French onion soup",1
"Frozen carbonated beverage",1
"Fuel tank",1
"Full-rigged ship",1
"Full moon",1
"Function hall",1
"Gadget",1
"Galleon",1
"Galliformes",1
"Gamelan",1
"Gargoyle",1
"Garnish",1
"Gauge",1
"General aviation",1
"Gentian family",1
"Gentiana",1
"German spitz",1
"German spitz mittel",1
"Gladiolus",1
"Glass bottle",1
"Gold",1
"Golden retriever",1
"Grandparent",1
"Grattachecca",1
"Gravure idol",1
"Green papaya salad",1
"Greeting card",1
"Grey squirrel",1
"Grille",1
"Grocery store",1
"ground squirrels",1
"Guard rail",1
"Guitar",1
"Guitar accessory",1
"Hall",1
"Hamburger",1
"Handrail",1
"Harrier",1
"Headband",1
"Hearing",1
"Heat",1
"Herb",1
"Hill",1
"Hippeastrum",1
"Hojicha",1
"Holiday ornament",1
"Home accessories",1
"Honda",1
"Honeymoon",1
"Horse and buggy",1
"Horse harness",1
"Horse tack",1
"Hot air ballooning",1
"Hot hatch",1
"Human body",1
"Humour",1
"Hunting dog",1
"Hybrid bicycle",1
"Ice",1
"Ice cream cone",1
"Icicle",1
"Icing",1
"Idiophone",1
"Igneous rock",1
"Ikebana",1
"Inca rope bridge",1
"Individual sports",1
"Infant bed",1
"Inn",1
"Interaction",1
"Jack pine",1
"Jacket",1
"Jacuzzi",1
"Japanese cuisine",1
"Japanese idol",1
"Japanese macaque",1
"Jazz",1
"Jazz guitarist",1
"Jewelry making",1
"Jogging",1
"Kandyan dance",1
"Kitesurfing",1
"Knee",1
"Kopi tubruk",1
"Korean jindo dog",1
"Kugelis",1
"Ladder",1
"Lamp",1
"Lampshade",1
"Lari",1
"Laugh",1
"Lavender",1
"Leash",1
"Leather",1
"Lecture",1
"Leggings",1
"Lei",1
"Lemon chicken",1
"Lettuce",1
"Light commercial vehicle",1
"Lilac",1
"Lily",1
"Lime",1
"Liquid",1
"Litter",1
"Lotus",1
"Lotus family",1
"Lovebird",1
"Luxury yacht",1
"Lycaenid",1
"Machine",1
"Makeup artist",1
"Mandevilla",1
"Mare",1
"Margarita",1
"Marine invertebrates",1
"Marine mammal",1
"Mask",1
"Masked lapwing",1
"Masonry oven",1
"Masque",1
"Massage",1
"Massage table",1
"Maya city",1
"Meadow",1
"Measuring instrument",1
"Meat chop",1
"Media",1
"Mediterranean food",1
"Meeting",1
"Mehndi",1
"Membrane-winged insect",1
"Microvan",1
"Milkshake",1
"Milkweed",1
"millipedes",1
"Minibus",1
"Mirrorless interchangeable-lens camera",1
"Mixed grill",1
"Modern art",1
"Modern dance",1
"Money",1
"Mongolian food",1
"Monk",1
"Moped",1
"Mosquito net",1
"Moth",1
"Moths and butterflies",1
"Mountain bike",1
"Moustache",1
"Movie",1
"Mud",1
"Multimedia",1
"Muscovado",1
"Musical ensemble",1
"Musical instrument accessory",1
"Musical theatre",1
"N<U+1ED9>m",1
"Nachos",1
"Napkin",1
"Nasi campur",1
"Nautilus",1
"Net",1
"News",1
"Nissan micra",1
"Number",1
"Nurungji",1
"Oar",1
"Ocean sunfish",1
"Ocicat",1
"Official",1
"Olde english bulldogge",1
"oleander",1
"Orangutan",1
"Orator",1
"oregon pine",1
"Organ",1
"Oriental shorthair",1
"Outcrop",1
"Outdoor table",1
"Oven",1
"Oxygen mask",1
"Pack animal",1
"Pad thai",1
"Paintball",1
"Paintball equipment",1
"Pakora",1
"Paper product",1
"Parakeet",1
"Parallel",1
"Parasailing",1
"Pariah dog",1
"Parking lot",1
"Parrot",1
"Passenger ship",1
"Pasture",1
"Pavilion",1
"Peking opera",1
"Pen",1
"Pendant",1
"Pho",1
"Photo shoot",1
"Photobombing",1
"Photographic paper",1
"Physiotherapist",1
"Pickup truck",1
"Picnic boat",1
"Picnic table",1
"Picture frame",1
"Pigeons and doves",1
"Pilgrimage",1
"Pillow",1
"Pine",1
"Pineapple",1
"Pit bull",1
"Plantation",1
"Plaster",1
"Plastic bag",1
"Plumbing fixture",1
"Poi",1
"Point-and-shoot camera",1
"Poker table",1
"Police",1
"Pollinator",1
"Pollution",1
"Pomacentridae",1
"Pomeranian",1
"Porcelain",1
"Pork chop",1
"Porridge",1
"Portrait photography",1
"Post-it note",1
"Poster session",1
"Poultry",1
"Poutine",1
"Prairie",1
"Precipitation",1
"Present",1
"Projection screen",1
"Promontory",1
"Protest",1
"Public speaking",1
"Pumpernickel",1
"Punch",1
"Puppy love",1
"Purple mangosteen",1
"Quiche",1
"Ranch",1
"Rawon",1
"Recital",1
"Reflex camera",1
"Rein",1
"Reinforced concrete",1
"Retail",1
"Retro style",1
"Rib eye steak",1
"Ribbon",1
"Rice and curry",1
"Road cycling",1
"Roasting",1
"Rodent",1
"Rooster",1
"Rope",1
"Rope bridge",1
"Rose",1
"Sail",1
"Sambal",1
"Samoyed",1
"Sandal",1
"Sashimi",1
"Schooner",1
"Scilla",1
"Screen",1
"Sea anemone",1
"Sea snail",1
"Seabird",1
"Semipalmated Plover",1
"Sewing machine",1
"Shack",1
"Sharing",1
"Shark",1
"Shashlik",1
"Shelf",1
"Shell",1
"Shoal",1
"Shooting",1
"Shooting sport",1
"Shopping",1
"Shorebird",1
"Singing",1
"Ski helmet",1
"Skirmish",1
"Slider",1
"Slipper",1
"Slush",1
"Small appliance",1
"Smoothie",1
"Snail",1
"Snails and slugs",1
"Snifter",1
"Soccer",1
"Soccer ball",1
"Soda bread",1
"Soft Serve Ice Creams",1
"Song",1
"Soto",1
"Sound",1
"Sourdough",1
"Souvlaki",1
"Spa",1
"Sparrow",1
"Spathoglottis",1
"Speaker",1
"Speech",1
"Spinach salad",1
"Spokesperson",1
"Sport utility vehicle",1
"Sports gear",1
"Square",1
"Squirrel",1
"Stable",1
"Stalactite",1
"Stallion",1
"Steak",1
"Stemware",1
"Stock dove",1
"Stole",1
"Stomach",1
"Stone wall",1
"Strata",1
"Strawberries",1
"Strawberry",1
"Street light",1
"String instrument accessory",1
"Stringozzi",1
"Sugar paste",1
"Sugarcane juice",1
"Suidae",1
"Sun tanning",1
"Supervillain",1
"Suzuki",1
"Sweetness",1
"Swimfin",1
"Swing",1
"Symmetry",1
"T'ai chi ch'uan",1
"Tabby cat",1
"Tachinidae",1
"Taco",1
"Tagetes",1
"Tapa",1
"Tartiflette",1
"Taste",1
"Tavern",1
"Taxi",1
"Teacup",1
"Teddy bear",1
"Terminalia catappa",1
"Terrace",1
"Theatre",1
"Therapy",1
"Thermae",1
"Ti'punch",1
"Tie",1
"Tights",1
"Tin can",1
"Tinto de verano",1
"Tints and shades",1
"Toast",1
"Tobacco products",1
"Toe",1
"Tofu",1
"Tooth",1
"Top",1
"Torch",1
"Torii",1
"Tosa",1
"Toy block",1
"Toyota alphard",1
"Toyota avanza",1
"Toyota belta",1
"Toyota innova",1
"Toyota vios",1
"Trademark",1
"Triathlon",1
"triplet lily",1
"Tropical and subtropical coniferous forests",1
"Trousers",1
"United states passport",1
"Valdivian temperate rain forest",1
"Van",1
"Vascular plant",1
"Vase",1
"Veggie burger",1
"Vehicle door",1
"Vespa",1
