"GIANYAR","Freq"
"Abalone",1
"Academic conference",1
"Accipitriformes",1
"Acrylic paint",1
"Aegean cat",1
"african grey",1
"Aglais",1
"Agricultural machinery",1
"Air force",1
"Air racing",1
"Air show",1
"Air travel",1
"Aircraft",1
"Airline",1
"Airplane",1
"Album cover",1
"Alexander",1
"Alismatales",1
"Aluminum can",1
"Amaryllis family",1
"Amatriciana sauce",1
"American black bear",1
"American larch",1
"Ammunition",1
"Amphibian",1
"Angel",1
"Animal figure",1
"Animated cartoon",1
"Aqua",1
"Arcade",1
"Arch bridge",1
"Archery",1
"Arctic",1
"Arena",1
"Argiope",1
"Arrosticini",1
"Arsenal",1
"Artisan",1
"Asian soups",1
"Athletic dance move",1
"Athletic shoe",1
"Atlantic spanish mackerel",1
"Audubon's Cottontail",1
"Automotive wheel system",1
"Autumn",1
"Aviation",1
"Avocado",1
"Azure",1
"Backlighting",1
"Bag",1
"Baggage",1
"Bakery",1
"Bakmi",1
"Balcony",1
"Banoffee pie",1
"Banquet",1
"Barbecue",1
"Baseball park",1
"Basil",1
"Basmati",1
"Batchoy",1
"Bathtub",1
"Bayou",1
"Bear",1
"Beer glass",1
"Beige",1
"Bell",1
"bengal clockvine",1
"Beverage can",1
"Bicycle accessory",1
"Bicycle frame",1
"Bicycle motocross",1
"Bicycle tire",1
"Bigoli",1
"Bird-of-paradise",1
"Black cat",1
"Black drink",1
"Black forest cake",1
"Black rhinoceros",1
"Black stork",1
"Black swallowtail",1
"Blister beetles",1
"Blossom",1
"Blow torch",1
"blowflies",1
"Bmw",1
"Bmx bike",1
"Boa",1
"Boa constrictor",1
"Boar",1
"board short",1
"Boardsport",1
"Bodyboarding",1
"Bone",1
"Bony-fish",1
"Bougainvillea",1
"Boutique hotel",1
"Bowed string instrument",1
"Bowl",1
"Boza",1
"Brain",1
"Braising",1
"Brassiere",1
"Brickwork",1
"Bridal party dress",1
"Brimstones",1
"Broomrape",1
"Brown Pelican",1
"Bucatini",1
"Bucket",1
"Bull and terrier",1
"Bull terrier",1
"Bumper",1
"Bun",1
"Bunk bed",1
"Bunker",1
"Cabbage butterfly",1
"Cake decorating",1
"Calçot",1
"California-style pizza",1
"Calm",1
"Camera",1
"Cameras & optics",1
"Camouflage",1
"Candle holder",1
"Capellini",1
"Caper",1
"Caramel",1
"Carbonara",1
"Carbonated soft drinks",1
"Card game",1
"Carmine",1
"Carnivorous plant",1
"Carpet",1
"Cash",1
"Cathedral",1
"Cattleya labiata",1
"Cavalier king charles spaniel",1
"Cavaquinho",1
"Caving",1
"Cecina",1
"Ceiling fan",1
"Ceiling fixture",1
"Cervelle de canut",1
"Ceviche",1
"Cg artwork",1
"Chalk",1
"Championship",1
"Chartreux",1
"Cheering",1
"Cheesecake",1
"Chest of drawers",1
"Chicken",1
"Child art",1
"Chimichanga",1
"Chopper",1
"Chow chow",1
"Chow mein",1
"Chowder",1
"Christmas",1
"Christmas decoration",1
"Christmas tree",1
"Chute",1
"Circuit breaker",1
"Circus",1
"Clam chowder",1
"Class",1
"Classical architecture",1
"Classroom",1
"Claw",1
"Cleanliness",1
"Clergy",1
"Club",1
"Cob",1
"Cobalt blue",1
"Coca-cola",1
"Cockatiel",1
"Cocoa bean",1
"Coddle",1
"Coffee table",1
"Cola",1
"Colubridae",1
"Competition",1
"Computer desk",1
"Computer keyboard",1
"Computer monitor",1
"Concert",1
"Conference hall",1
"Conifer",1
"Conquistador",1
"Consommé",1
"Construction",1
"Convenience store",1
"Convention",1
"Cookie",1
"Cookies and crackers",1
"Cooking plantain",1
"Corn chowder",1
"Costus family",1
"Coucal",1
"Countertop",1
"Coupé",1
"Cowboy hat",1
"Craft",1
"Crème fraîche",1
"Cricket",1
"Cricket-like insect",1
"Crochet",1
"Croissant",1
"Crown",1
"Crudités",1
"Cuckoo",1
"Culinary art",1
"Currency",1
"Cyclamen",1
"Cylinder",1
"Cypripedium",1
"Dai pai dong",1
"dandelion",1
"Daphne",1
"Dark 'n' stormy",1
"Dawn",1
"Degu",1
"Dhole",1
"Dinosaur",1
"Dirt road",1
"Display advertising",1
"Display device",1
"Display window",1
"Diwali",1
"Dogwood family",1
"Domestic long-haired cat",1
"Domestic rabbit",1
"Domesticated turkey",1
"Dondurma",1
"Doogh",1
"Door handle",1
"Dragon li",1
"Dragon lizard",1
"Driftwood",1
"Driving",1
"Earl grey tea",1
"Eastern Cottontail",1
"Edible mushroom",1
"Egg",1
"Egret",1
"Elapidae",1
"Electronic instrument",1
"Electronics",1
"Embroidery",1
"Entertainment",1
"Eumenidae",1
"Falcon",1
"Falconiformes",1
"Fedora",1
"Fettuccine",1
"Fiambre",1
"Filmjölk",1
"Financier",1
"Fines herbes",1
"Fireworks",1
"Fish and chips",1
"Fisherman",1
"Fisheye lens",1
"Fishing",1
"Flag",1
"Flamenco",1
"Flight",1
"Flip-flops",1
"Floodplain",1
"Flourless chocolate cake",1
"Flyer",1
"Fodder",1
"Fog",1
"Food group",1
"Forage fish",1
"Ford",1
"Ford escape",1
"Forge",1
"Four o'clock family",1
"Fox terrier",1
"Fra diavolo sauce",1
"frangipani",1
"Frappé coffee",1
"French fries",1
"Fuel tank",1
"Full-size car",1
"Full moon",1
"Galaxy",1
"Ganache",1
"Garden roses",1
"Garden salad",1
"Gardener",1
"Gelatin dessert",1
"German spitz",1
"Ghee",1
"Giant Swallowtail",1
"Glutinous rice",1
"Gnocchi",1
"Goat meat",1
"Goggles",1
"Gold",1
"Goldenrod",1
"Gong",1
"Gown",1
"Grain",1
"Gramophone record",1
"Grandparent",1
"Grasshopper",1
"Grattachecca",1
"Great dane",1
"Great egret",1
"Great horned owl",1
"Great Spangled Fritillary",1
"Gremolata",1
"Grilling",1
"Grocer",1
"Guacamole",1
"Gun",1
"Hair coloring",1
"Hamburger",1
"Hammock",1
"Hamper",1
"Hand luggage",1
"Handrail",1
"Hardtop",1
"Hare",1
"Harp",1
"Head restraint",1
"Headstone",1
"heater",1
"Helicopter",1
"Hemp family",1
"Heron",1
"Highball",1
"Highway",1
"Hollandaise sauce",1
"Home accessories",1
"Home door",1
"Home fries",1
"Honeymoon",1
"Hoodie",1
"Hostel",1
"Hot dry noodles",1
"Hot spring",1
"Hotel",1
"Hunting dog",1
"Hybrid bicycle",1
"Ice cream cone",1
"Icing",1
"Icon",1
"Ikebana",1
"Incandescent light bulb",1
"Indian rhinoceros",1
"Jacket",1
"Jarana jarocha",1
"Jewel bugs",1
"Jewellery",1
"Job",1
"Jogging",1
"Jumping",1
"Kai yang",1
"Kamikaze",1
"Kandyan dance",1
"Kei truck",1
"Key lime",1
"Key lime pie",1
"Kids' meal",1
"Kilt",1
"Kindergarten",1
"Kinkajou",1
"Knitting",1
"Korat",1
"Krupuk",1
"Kuchen",1
"Lacustrine plain",1
"lady tulip",1
"Lamian",1
"Lampides",1
"Lantern",1
"Laotian cuisine",1
"Laptop part",1
"Lasiommata",1
"Latte",1
"Laulau",1
"Leek",1
"Leek soup",1
"Legume",1
"Lei",1
"Lens flare",1
"Lentil",1
"Leptidea",1
"Leptidea sinapis",1
"Light bulb",1
"Lily",1
"Lime",1
"Limeade",1
"Line art",1
"Lineman",1
"Lingerie",1
"Litter",1
"Lo mein",1
"Locket",1
"Locust",1
"Log cabin",1
"Long-tailed Blue",1
"Longboard",1
"Loom",1
"Lower Keys Marsh Rabbit",1
"Luggage and bags",1
"Lumpia",1
"Lycaena",1
"Magazine",1
"Magnolia",1
"Mahi Mahi",1
"Malagueta pepper",1
"Mallard",1
"Mallow family",1
"Manakish",1
"Manduca sexta",1
"Map",1
"Marmoset",1
"Maroon",1
"Martini",1
"Masala",1
"Massively multiplayer online role-playing game",1
"Mast",1
"Matoke",1
"Mattress",1
"Maze",1
"Media",1
"Meeting",1
"Mercedes-benz",1
"Mercedes-benz w108",1
"Mercedes-benz w111",1
"Metallophone",1
"Metropolis",1
"Meze",1
"Mid-size car",1
"Middle ages",1
"Military camouflage",1
"Milk punch",1
"Milkfish",1
"Milkshake",1
"Milksnake",1
"Milky way",1
"Mineral spring",1
"Miniature",1
"Minidisc",1
"Mining",1
"Mint julep",1
"Mixed grill",1
"Mochi",1
"Modern dance",1
"Moisture",1
"Molding",1
"Momordica charantia",1
"Money",1
"Money handling",1
"Moon",1
"Mooncake",1
"Moonlight",1
"Mortar and pestle",1
"Mosaic",1
"Mosquito net",1
"Motorcycle fairing",1
"Mountain Cottontail",1
"Mouse",1
"Mousse",1
"Multimedia",1
"Music artist",1
"Nachos",1
"Nasi goreng",1
"Nativity scene",1
"Navel",1
"Navy",1
"Nebelung",1
"Nem rán",1
"Neon",1
"Netbook",1
"New year",1
"New year's eve",1
"News",1
"Non-dairy creamer",1
"Noodle soup",1
"Nordic walking",1
"Novel",1
"Nuncio",1
"Oak",1
"Off-road vehicle",1
"Off-roading",1
"Okara",1
"Omelette",1
"Onion",1
"Opera",1
"Orator",1
"Orb-weaver spider",1
"Organization",1
"Origami",1
"Ornament",1
"Otter",1
"Outdoor recreation",1
"Outer space",1
"Outlet store",1
"Overhead power line",1
"Ox",1
"Oxbow lake",1
"Oxtail soup",1
"Palace",1
"Pan-bagnat",1
"Pancake",1
"Panna cotta",1
"Pannekoek",1
"Papilio",1
"Pappardelle",1
"Paprika",1
"Parallel",1
"Parasite",1
"Parmigiana",1
"Party supply",1
"Passenger",1
"Passion fruit juice",1
"Pasta",1
"Paste",1
"Pastry chef",1
"Patterdale terrier",1
"Paw",1
"Pea soup",1
"Peafowl",1
"Pekingese",1
"Pembroke welsh corgi",1
"Pendant",1
"Penne",1
"Peony",1
"Percussion",1
"Persian",1
"Persillade",1
"Phat si io",1
"Pho",1
"Phragmites",1
"Pici",1
"Piciformes",1
"Pie",1
"Pilates",1
"Pilgrims",1
"Pillow",1
"Pineapple",1
"Pink lady",1
"Pinscher",1
"Pint",1
"Pit cave",1
"Pizza cheese",1
"Plaid",1
"Plastic bottle",1
"Platter",1
"Plaza",1
"Poached egg",1
"Pom-pom",1
"Poodle",1
"Pop music",1
"Pope",1
"Pray",1
"Predation",1
"Printmaking",1
"Projection screen",1
"Protest",1
"Psychedelic art",1
"Public speaking",1
"Puddle",1
"Pumpernickel",1
"Pumpkin",1
"Puppy",1
"Race track",1
"Radish",1
"Ranch",1
"Rebana",1
"Record player",1
"Recreational fishing",1
"Red onion",1
"Religious item",1
"Restroom",1
"Rhinoceros",1
"Ringlet",1
"Riodinidae",1
"Risotto",1
"Ristretto",1
"Road bicycle",1
"Roar",1
"Roasting",1
"Rock concert",1
"Rocking chair",1
"Romaine lettuce",1
"Romance",1
"Rooster",1
"Root vegetable",1
"Rope",1
"Rose",1
"Rose family",1
"Rotorcraft",1
"Rutabaga",1
"Sachertorte",1
"Safari",1
"Salak",1
"Salt-cured meat",1
"Saltimbocca",1
"Samba",1
"Sandal",1
"Sandwich",1
"Sandwich Cookies",1
"Sate kambing",1
"Saucer",1
"Savanna",1
"Scallion",1
"Scampi",1
"Scaphosepalum",1
"Scrap",1
"Screen",1
"Seahorse",1
"Seasoning",1
"Security lighting",1
"Sedan",1
"Semifreddo",1
"Serrano pepper",1
"Shadow",1
"Shallot",1
"Shaolin kung fu",1
"Shed",1
"Shinto shrine",1
"Shot glass",1
"Shotgun",1
"Shrimp",1
"Siam tulip",1
"Silhouette",1
"Singapore sling",1
"Siu yeh",1
"Skateboard",1
"Skull",1
"Slate",1
"Sleeve",1
"Slider",1
"Slipper",1
"Slush",1
"Soba",1
"Solanum",1
"Soto ayam",1
"Sparkler",1
"Spice rack",1
"Spicebush Swallowtail",1
"Spinach salad",1
"Spire",1
"Spoke",1
"Spoon",1
"Spoonbill",1
"Sports drink",1
"Spring greens",1
"Squirrel",1
"Stained glass",1
"Stallion",1
"Star",1
"Steak",1
"Steel",1
"Straw",1
"Stream bed",1
"Street dog",1
"Street sign",1
"studio couch",1
"Stunt",1
"Stunt performer",1
"Sumatran rhinoceros",1
"Sun hat",1
"Supermoto",1
"Supernatural creature",1
"Surface water sports",1
"Surfboard",1
"Surfing",1
"Surfing Equipment",1
"Suspension bridge",1
"Suzuki sj",1
"Swan",1
"Swimwear",1
"Swing",1
"Symbol",1
"Synagogue",1
"T'ai chi ch'uan",1
"Taco",1
"Tagliatelle",1
"Take-out food",1
"Taquito",1
"Tasmanian devil",1
"Taste",1
"Tea",1
"Tea set",1
"Teal",1
"Team sport",1
"Teleconverter",1
"Teriyaki",1
"Terrier",1
"Thai fried rice",1
"Thermokarst",1
"Thumb",1
"Ticket",1
"Tide",1
"Tin",1
"Tin can",1
"Tints and shades",1
"Toilet",1
"Tomb",1
"Tool",1
"Tooth",1
"Torii",1
"Torte",1
"Tortilla chip",1
"Tostada",1
"Totopo",1
"Touchpad",1
"Traditional japanese musical instruments",1
"Traditional korean musical instruments",1
"Traffic congestion",1
"Training",1
"tree mallow",1
"Tribal chief",1
"Tributary",1
"Trophy",1
"Tuber",1
"Tundra",1
"Turkey Vulture",1
"Turkish delight",1
"Ukulele",1
"Ultramarathon",1
"Undergarment",1
"Universe",1
"Variegated Fritillary",1
"Vegan nutrition",1
"Vegetable juice",1
"Vespa",1
"Vestment",1
