"KARANGASEM","Freq"
"Adventure game",1
"Alcohol",1
"Algae",1
"Alps",1
"Amber",1
"American larch",1
"Amphibian",1
"Ananas",1
"Anemone",1
"Angling",1
"Animation",1
"Antique",1
"appetizer",1
"Aquanaut",1
"Arachnid",1
"Archipelago",1
"Artifact",1
"Artificial flower",1
"Arum family",1
"Astronomy",1
"Automotive tire",1
"Automotive window part",1
"Bag",1
"Banner",1
"Bat",1
"Beam",1
"Beard",1
"Bicycle clothing",1
"Bicycle racing",1
"Bicycles--Equipment and supplies",1
"Bikini",1
"Billboard",1
"Bioluminescence",1
"Bird supply",1
"Black hair",1
"Blackboard",1
"Blond",1
"blowflies",1
"Book",1
"Borassus flabellifer",1
"Bottle",1
"Bougainvillea",1
"Bouquet",1
"Brickwork",1
"Brug",1
"Bruschetta",1
"Bud",1
"Bull shark",1
"Bumper",1
"Cabbage roll",1
"Cable-stayed bridge",1
"Café",1
"Cage",1
"Camouflage",1
"Canaan dog",1
"Canoe birch",1
"Cap",1
"Cape",1
"Caramel",1
"Carcharhiniformes",1
"Cargo ship",1
"Caridean shrimp",1
"Carp",1
"Cartilaginous fish",1
"Cash crop",1
"Casting (fishing)",1
"Cat",1
"Cave",1
"Caving",1
"Cephalopod",1
"Channel",1
"Chef",1
"Chicken",1
"Chinese food",1
"Choreography",1
"Christmas tree",1
"Chrysopogon zizanioides",1
"Chute",1
"Classical architecture",1
"Claw",1
"Clock",1
"Clock tower",1
"Clothing",1
"clownfish",1
"Coconut",1
"Commercial vehicle",1
"Compact mpv",1
"Companion dog",1
"Compost",1
"Concrete",1
"Container ship",1
"Conversation",1
"Cookware and bakeware",1
"Costume",1
"Costus family",1
"Couch",1
"Courtyard",1
"Cove",1
"Crab",1
"Craft",1
"Crinum",1
"Cross-country cycling",1
"Cuatro",1
"Dance",1
"Dancer",1
"Daytime",1
"Dendrobium",1
"Desert",1
"Dessert",1
"Display device",1
"Ditch",1
"Diving mask",1
"Dome",1
"Domestic short-haired cat",1
"Dragon lizard",1
"Dress",1
"Driftwood",1
"Drizzle",1
"Dry suit",1
"Duck",1
"Ducks, geese and swans",1
"Earth",1
"Eel",1
"Electronic device",1
"Endurance sports",1
"Entertainment",1
"Environmental art",1
"European shorthair",1
"Extreme sport",1
"Facial hair",1
"Family",1
"Family car",1
"Fast food",1
"Fault",1
"Feather",1
"Felidae",1
"Fern",1
"Fictional character",1
"Fisherman",1
"Fishing",1
"Fishing rod",1
"Fixed link",1
"Flag",1
"Flame",1
"Floating production storage and offloading",1
"Floral design",1
"Flower Arranging",1
"Formal wear",1
"frangipani",1
"Fried food",1
"Fruit",1
"Galliformes",1
"Gardener",1
"Gargoyle",1
"Gazebo",1
"Gecko",1
"Gift basket",1
"Girder bridge",1
"Gladiolus",1
"Goldfish",1
"Gown",1
"Graphic design",1
"Great white shark",1
"Green sea turtle",1
"Guitar",1
"Harbor",1
"Harvestmen",1
"Hawker",1
"Hawksbill sea turtle",1
"Headlamp",1
"Hedgehog cactus",1
"History",1
"Holacanthus",1
"Horse",1
"Hug",1
"Human leg",1
"Humpback bridge",1
"Ice",1
"Igneous rock",1
"Indian cuisine",1
"Indoor games and sports",1
"Inflatable",1
"Intrusion",1
"Jarana jarocha",1
"Jaw",1
"Jewel bugs",1
"Junk food",1
"Kimono",1
"Knee",1
"Korean jindo dog",1
"Krill",1
"Land vehicle",1
"Launch",1
"Lavender",1
"Leisure centre",1
"Light fixture",1
"lilac",1
"Line",1
"Lip",1
"Liqueur",1
"Litopenaeus setiferus",1
"Lizard",1
"Loch",1
"Loggerhead sea turtle",1
"Lotus",1
"Lumpia",1
"Magur",1
"Mansion",1
"Map",1
"Marina",1
"Marriage",1
"Mausoleum",1
"mayflies",1
"Meadow",1
"Meat",1
"Media",1
"Midnight",1
"Military camouflage",1
"Modern art",1
"Modern dance",1
"Monastery",1
"Monk",1
"Monstera deliciosa",1
"Moon",1
"Moss",1
"Motocross",1
"Motorcycle racing",1
"Mouth",1
"Music",1
"Musical instrument",1
"Musician",1
"Nannyberry",1
"Nap",1
"Nasi liwet",1
"National park",1
"Naval architecture",1
"Neck",1
"Net",1
"Non-vascular land plant",1
"oakleaf hydrangea",1
"Orb-weaver spider",1
"Orchids of the philippines",1
"Outerwear",1
"Overpass",1
"Paddle",1
"Panamax",1
"Paper",1
"Parallel",1
"Party",1
"Passenger",1
"Passenger ship",1
"Path",1
"Patio",1
"Pavilion",1
"Peach",1
"Peninsula",1
"Perch",1
"Performance art",1
"Performing arts",1
"Picnic",1
"Picnic boat",1
"Pineapple",1
"Plane",1
"Plankton",1
"Playground slide",1
"Plaza",1
"Plucked string instruments",1
"Pollen",1
"Pomacanthidae",1
"Porch",1
"Portrait",1
"Prairie",1
"Present",1
"Puddle",1
"Pungsan dog",1
"Raft",1
"Recreational fishing",1
"Rectangle",1
"Red sky at morning",1
"Red snapper",1
"Requiem shark",1
"Resort town",1
"Retail",1
"Rim",1
"Ringed-worm",1
"Riparian zone",1
"Roller coaster",1
"Rose",1
"Rose family",1
"Sail",1
"Salad",1
"Sarma",1
"Savanna",1
"Screen",1
"Sea turtle",1
"Shark",1
"Shell",1
"Shinto shrine",1
"Shopkeeper",1
"Shopping",1
"Shorts",1
"Shrimp",1
"Silk",1
"Skyway",1
"Small to medium-sized cats",1
"Snake",1
"Social group",1
"Spa town",1
"Sport venue",1
"Sports equipment",1
"Sportswear",1
"Spring roll",1
"Stadium",1
"Stage",1
"Stall",1
"Staple food",1
"Star",1
"State park",1
"Steamed rice",1
"Steel",1
"Steeple",1
"Steppe",1
"Still life",1
"Street fashion",1
"Street sign",1
"Subcompact car",1
"Suburb",1
"Sunlight",1
"Supper",1
"Surf fishing",1
"Suspension bridge",1
"Sweetness",1
"Swimming",1
"Swimwear",1
"Symmetry",1
"Tabby cat",1
"Tartan",1
"Team",1
"Terrain",1
"Thigh",1
"Thread",1
"thuya",1
"Tiger shark",1
"Tilapia",1
"Tile",1
"Tiple",1
"Tire",1
"Tortoise",1
"Toy",1
"Traffic sign",1
"Transparent material",1
"Triggerfish",1
"Truss bridge",1
"Tulip",1
"Urban design",1
"Valdivian temperate rain forest",1
"Valley",1
"Vegetable",1
"Vehicle door",1
"Vintage car",1
"Vision care",1
"Visual effect lighting",1
"Volcanic field",1
"Walking",1
"Water bird",1
"Water park",1
"Waterfowl",1
"Wetsuit",1
"Whiskers",1
"White rice",1
"Wind",1
"Windsports",1
"Wood stain",1
"Wool",1
"Working animal",1
"Wrinkle",1
"Zoo",1
"Aerial photography",2
"Alismatales",2
"Amusement ride",2
"Ancient roman architecture",2
"Apartment",2
"Arm",2
"Astronomical object",2
"Automotive wheel system",2
"Balcony",2
"Banana",2
"Banana leaf",2
"Beak",2
"Blossom",2
"Breakfast",2
"Brick",2
"Bromeliaceae",2
"Broomrape",2
"Brunch",2
"Bulk carrier",2
"Butterflyfish",2
"Cabezon (fish)",2
"Chair",2
"Classical sculpture",2
"Cnidaria",2
"Comfort food",2
"Compact car",2
"Cook",2
"Cowfish",2
"Dastar",2
"Deep sea fish",2
"Divemaster",2
"Diving equipment",2
"Dog breed",2
"Eating",2
"Eyebrow",2
"Fashion",2
"Feeder fish",2
"Finger",2
"Finger food",2
"Fishing vessel",2
"Floor",2
"Flooring",2
"Floristry",2
"Footwear",2
"Freediving",2
"Gesture",2
"Greengrocer",2
"Guru",2
"Hat",2
"Heliconia",2
"Holy places",2
"Illustration",2
"Inflatable boat",2
"Interaction",2
"Joint",2
"Koi",2
"Lighting",2
"Local food",2
"Log cabin",2
"Mammal",2
"Medieval architecture",2
"Mixed-use",2
"Motor ship",2
"Mount scenery",2
"National historic landmark",2
"Natural foods",2
"Nepenthes",2
"Oar",2
"Off-roading",2
"Oil tanker",2
"Outdoor furniture",2
"Outdoor table",2
"Outlet store",2
"Painting",2
"Patchwork",2
"Pc game",2
"People in nature",2
"People on beach",2
"Perennial plant",2
"Performance",2
"Picture frame",2
"Pine family",2
"Pole",2
"Product",2
"Promontory",2
"Quilt",2
"Quilting",2
"Ray-finned fish",2
"Restaurant",2
"Root",2
"Sacred lotus",2
"Sailboat",2
"Sailing",2
"Sari",2
"Scaled reptile",2
"Scooter",2
"Screenshot",2
"Seaweed",2
"Shade",2
"Shoe",2
"Slug",2
"Sound",2
"Speedboat",2
"Spider",2
"Spider web",2
"Spiny lobster",2
"Spiral",2
"Spire",2
"Sporting Group",2
"Standing",2
"Stone wall",2
"Street food",2
"String instrument",2
"Student",2
"Style",2
"Sunlounger",2
"Syngnathiformes",2
"Tail",2
"Tank ship",2
"Text",2
"Thorns, spines, and prickles",2
"Tide pool",2
"Town square",2
"Triumphal arch",2
"Turtle",2
"Uniform",2
"Vascular plant",2
"Vegetarian food",2
"Viburnum",2
"Violet",2
"Waterfall",2
"Wetland",2
"Whole food",2
"Worm",2
"Wrasses",2
"Yacht",2
"Adventure racing",3
"Advertising",3
"Amusement park",3
"anemone fish",3
"Annual plant",3
"Anthurium",3
"Arch bridge",3
"Auto part",3
"Automotive design",3
"Automotive exterior",3
"Backpacking",3
"Bazaar",3
"Bicycle helmet",3
"Bird",3
"Boxfishes and trunkfish",3
"Brown",3
"Canidae",3
"Ceremony",3
"Column",3
"Cumulus",3
"Cycle sport",3
"Darkness",3
"Daylighting",3
"Dock",3
"Dog",3
"Downtown",3
"Echinoderm",3
"Ecoregion",3
"Electric blue",3
"Enduro",3
"Eye",3
"Facial expression",3
"Fell",3
"Fin",3
"Flesh",3
"Formation",3
"fragrant white water lily",3
"Games",3
"Glass",3
"Green congo",3
"Headland",3
"Herb",3
"Hiking",3
"Human",3
"Hydrangea serrata",3
"Interior design",3
"Learning",3
"Lifejacket",3
"Lotus family",3
"Magenta",3
"Marketplace",3
"Meteorological phenomenon",3
"Mist",3
"Motorcycle helmet",3
"Mountain bike",3
"Nonbuilding structure",3
"Pilgrimage",3
"Purple",3
"Ritual",3
"Road surface",3
"Scorpionfish",3
"Sea cucumber",3
"Seahorse",3
"Sidewalk",3
"Sign",3
"Snorkeling",3
"Stairs",3
"Stream",3
"Street dog",3
"Subshrub",3
"Summit",3
"Sun tanning",3
"T-shirt",3
"Trunkfish",3
"Turban",3
"Underwater diving",3
"Unesco world heritage site",3
"Villa",3
"Water sport",3
"Wheel",3
"Wildflower",3
"Window",3
"Windshield",3
"Arthropod",4
"Attalea speciosa",4
"Azure",4
"Backyard",4
"Beauty",4
"Caribbean",4
"Carnivore",4
"Chin",4
"Commercial building",4
"Cornales",4
"Cycling",4
"Design",4
"Drink",4
"Elaeis",4
"Ensete",4
"Fawn",4
"Ferry",4
"Fog",4
"Font",4
"Forehead",4
"Geology",4
"Glasses",4
"Groundcover",4
"Hair accessory",4
"Hairstyle",4
"Haze",4
