"TABANAN","Freq"
"Adventure game",1
"Afterglow",1
"Aguas frescas",1
"Alcohol",1
"Alcoholic beverage",1
"Alismatales",1
"Animal shelter",1
"Arum family",1
"Atmospheric phenomenon",1
"Azure",1
"Backyard",1
"Baked goods",1
"Banana",1
"Banana family",1
"Bar",1
"Batida",1
"Beak",1
"Beauty",1
"Bench",1
"Bight",1
"Black hair",1
"Boardwalk",1
"Boat",1
"Bog",1
"Bottle",1
"Cage",1
"Cap",1
"Car",1
"Caribbean",1
"Carpenter bee",1
"Cash crop",1
"Castle",1
"Ceremony",1
"Champagne",1
"Champagne stemware",1
"Chrysanths",1
"Close-up",1
"Clothing",1
"Coconut",1
"Coconut water",1
"Column",1
"Commemorative plaque",1
"Commercial building",1
"Companion dog",1
"Cottage",1
"Crane",1
"Cumulus",1
"Cut flowers",1
"Dairy",1
"Dancer",1
"Daylighting",1
"Degu",1
"Dessert",1
"Dinner",1
"Distilled beverage",1
"Dog",1
"Door",1
"Driveway",1
"Eating",1
"Eco hotel",1
"Elaeis",1
"Elapidae",1
"Electrical supply",1
"Ensete",1
"Fedora",1
"Fence",1
"Field trial",1
"Finger",1
"Finger food",1
"First-class cricket",1
"Flash photography",1
"Floor",1
"Floral design",1
"Floristry",1
"Freeway",1
"Frozen dessert",1
"Fruit",1
"Glass",1
"Glass bottle",1
"Goat",1
"Golf",1
"Golf club",1
"Golf course",1
"Golf equipment",1
"Golfer",1
"Greengrocer",1
"Grilling",1
"Hand fan",1
"Hat",1
"Hawker",1
"Headstone",1
"Health shake",1
"Herd",1
"History",1
"Houseplant",1
"Human",1
"Hunting dog",1
"Ice",1
"Icicle",1
"Ingredient",1
"Inn",1
"Island",1
"Japanese architecture",1
"Juice",1
"Jumping",1
"Kai ken",1
"Kennel",1
"Lawn",1
"Line",1
"Lingerie",1
"Little red flying fox",1
"Local food",1
"Long hair",1
"Lunch",1
"Majorelle blue",1
"Mammal",1
"Mansion",1
"Marguerite daisy",1
"Market",1
"Marketplace",1
"mayweed",1
"Memorial",1
"Midnight",1
"Moat",1
"Model",1
"Moss",1
"National park",1
"Natural foods",1
"Non-alcoholic beverage",1
"Non-vascular land plant",1
"Nonbuilding structure",1
"Norwich terrier",1
"Outdoor furniture",1
"Outerwear",1
"Pet supply",1
"Photo shoot",1
"Phragmites",1
"Physical fitness",1
"Pink",1
"Prairie",1
"Professional golfer",1
"Pub",1
"Public space",1
"Public utility",1
"Ravine",1
"Red",1
"Red sky at morning",1
"Relief",1
"Ritual",1
"Romance",1
"Running",1
"Sari",1
"Scooter",1
"Seabird",1
"Shade",1
"Skimboarding",1
"Small to medium-sized cats",1
"Snack",1
"Sport venue",1
"Sportswear",1
"Spring",1
"Square",1
"Stack",1
"Stage",1
"Stemware",1
"Stone wall",1
"Street dog",1
"Street food",1
"Street sign",1
"Style",1
"Sun hat",1
"Surfing",1
"Table",1
"Tavern",1
"Technology",1
"Terrestrial animal",1
"Terrestrial plant",1
"Tidal marsh",1
"Titan arum",1
"Toddler",1
"Tower",1
"Trail",1
"Tropical and subtropical coniferous forests",1
"Trunk",1
"Turban",1
"Turquoise",1
"Umbrella",1
"Undergarment",1
"Urban area",1
"Vascular plant",1
"Vespa",1
"Visual arts",1
"Water feature",1
"Watercolor paint",1
"Watercourse",1
"White",1
"Wildflower",1
"Wine",1
"Wire",1
"Yard",1
"Adventure",2
"Advertising",2
"Arch",2
"Astronomical object",2
"Backlighting",2
"Bank",2
"Bedrock",2
"Bird",2
"Botanical garden",2
"Cat",2
"Ceiling",2
"Costume",2
"Cuisine",2
"Darkness",2
"Daytime",2
