Country,start_lon,start_lat,end_lon,end_lat,count, proportion ,Continent
Australia,133.775136,-25.274398,115.188919,-8.409518,58, 0.10 ,Oceania
Austria,14.550072,47.516231,115.188919,-8.409518,4, 0.01 ,Europe
Bangladesh,90.356331,23.684994,115.188919,-8.409518,2, 0.00 ,Asia
Belgium,4.469936,50.503887,115.188919,-8.409518,7, 0.01 ,Europe
Bhutan,90.433601,27.514162,115.188919,-8.409518,1, 0.00 ,Asia
Brazil,-51.92528,-14.235004,115.188919,-8.409518,4, 0.01 ,South America
Bulgaria,25.48583,42.733883,115.188919,-8.409518,1, 0.00 ,Europe
Canada,-106.346771,56.130366,115.188919,-8.409518,23, 0.04 ,North America
China,104.195397,35.86166,115.188919,-8.409518,14, 0.03 ,Asia
Colombia,-74.297333,4.570868,115.188919,-8.409518,5, 0.01 ,South America
Emirates,53.847818,23.424076,115.188919,-8.409518,5, 0.01 ,Asia
France,2.213749,46.227638,115.188919,-8.409518,29, 0.05 ,Europe
Germany,10.451526,51.165691,115.188919,-8.409518,33, 0.06 ,Europe
Hungary,19.5033041,47.162494,115.188919,-8.409518,1, 0.00 ,Europe
India,78.96288,20.593684,115.188919,-8.409518,8, 0.01 ,Asia
Indonesia,113.921327,-0.789275,115.188919,-8.409518,12, 0.02 ,Asia
Ireland,-7.6920536,53.1423672,115.188919,-8.409518,4, 0.01 ,Europe
Italy,12.56738,41.87194,115.188919,-8.409518,17, 0.03 ,Europe
Japan,138.252924,36.204824,115.188919,-8.409518,11, 0.02 ,Asia
Laos,102.495496,19.85627,115.188919,-8.409518,3, 0.01 ,Asia
Malaysia,101.975766,4.210484,115.188919,-8.409518,21, 0.04 ,Asia
Netherlands,5.291266,52.132633,115.188919,-8.409518,27, 0.05 ,Europe
New Zealand,174.885971,-40.900557,115.188919,-8.409518,6, 0.01 ,Oceania
Norway,8.468946,60.472024,115.188919,-8.409518,5, 0.01 ,Europe
Philippines,121.774017,12.879721,115.188919,-8.409518,8, 0.01 ,Asia
Poland,19.145136,51.919438,115.188919,-8.409518,2, 0.00 ,Europe
Portugal,-8.224454,39.399872,115.188919,-8.409518,1, 0.00 ,Europe
Qatar,51.183884,25.354826,115.188919,-8.409518,2, 0.00 ,Asia
Russia,105.318756,61.52401,115.188919,-8.409518,13, 0.02 ,Europe
Saudi Arabia,45.079162,23.885942,115.188919,-8.409518,1, 0.00 ,Asia
Singapore,103.819836,1.352083,115.188919,-8.409518,30, 0.05 ,Asia
Slovenia,14.995463,46.151241,115.188919,-8.409518,1, 0.00 ,Europe
South Korea,127.766922,35.907757,115.188919,-8.409518,4, 0.01 ,Asia
Spain,-3.74922,40.463667,115.188919,-8.409518,23, 0.04 ,Europe
Sweden,18.643501,60.128161,115.188919,-8.409518,2, 0.00 ,Europe
Switzerland,8.227512,46.818188,115.188919,-8.409518,15, 0.03 ,Europe
Taiwan,120.960515,23.69781,115.188919,-8.409518,24, 0.04 ,Asia
Thailand,100.992541,15.870032,115.188919,-8.409518,8, 0.01 ,Asia
Turkey,35.243322,38.963745,115.188919,-8.409518,1, 0.00 ,Europe
Uk,-3.435973,55.378051,115.188919,-8.409518,40, 0.07 ,Europe
Ukraine,31.1655799,48.379433,115.188919,-8.409518,4, 0.01 ,Europe
USA,-95.712891,37.09024,115.188919,-8.409518,71, 0.13 ,North America
Vietnam,108.277199,14.058324,115.188919,-8.409518,2, 0.00 ,Asia
