"word","Freq","name"
"Grass",1,"JEMBRANA"
"Land lot",1,"JEMBRANA"
"Natural environment",1,"JEMBRANA"
"Natural landscape",1,"JEMBRANA"
"Nature reserve",1,"JEMBRANA"
"Plant",1,"JEMBRANA"
"Tree",1,"JEMBRANA"
"Vegetation",1,"JEMBRANA"
"Wildlife",1,"JEMBRANA"
"Woody plant",1,"JEMBRANA"
"Adventure game",1,"TABANAN"
"Afterglow",1,"TABANAN"
"Aguas frescas",1,"TABANAN"
"Alcohol",1,"TABANAN"
"Alcoholic beverage",1,"TABANAN"
"Alismatales",1,"TABANAN"
"Animal shelter",1,"TABANAN"
"Arum family",1,"TABANAN"
"Atmospheric phenomenon",1,"TABANAN"
"Azure",1,"TABANAN"
"Backyard",1,"TABANAN"
"Baked goods",1,"TABANAN"
"Banana",1,"TABANAN"
"Banana family",1,"TABANAN"
"Bar",1,"TABANAN"
"Batida",1,"TABANAN"
"Beak",1,"TABANAN"
"Beauty",1,"TABANAN"
"Bench",1,"TABANAN"
"Bight",1,"TABANAN"
"Black hair",1,"TABANAN"
"Boardwalk",1,"TABANAN"
"Boat",1,"TABANAN"
"Bog",1,"TABANAN"
"Bottle",1,"TABANAN"
"Cage",1,"TABANAN"
"Cap",1,"TABANAN"
"Car",1,"TABANAN"
"Caribbean",1,"TABANAN"
"Carpenter bee",1,"TABANAN"
"Cash crop",1,"TABANAN"
"Castle",1,"TABANAN"
"Ceremony",1,"TABANAN"
"Champagne",1,"TABANAN"
"Champagne stemware",1,"TABANAN"
"Chrysanths",1,"TABANAN"
"Close-up",1,"TABANAN"
"Clothing",1,"TABANAN"
"Coconut",1,"TABANAN"
"Coconut water",1,"TABANAN"
"Column",1,"TABANAN"
"Commemorative plaque",1,"TABANAN"
"Commercial building",1,"TABANAN"
"Companion dog",1,"TABANAN"
"Cottage",1,"TABANAN"
"Crane",1,"TABANAN"
"Cumulus",1,"TABANAN"
"Cut flowers",1,"TABANAN"
"Dairy",1,"TABANAN"
"Dancer",1,"TABANAN"
"Daylighting",1,"TABANAN"
"Degu",1,"TABANAN"
"Dessert",1,"TABANAN"
"Dinner",1,"TABANAN"
"Distilled beverage",1,"TABANAN"
"Dog",1,"TABANAN"
"Door",1,"TABANAN"
"Driveway",1,"TABANAN"
"Eating",1,"TABANAN"
"Eco hotel",1,"TABANAN"
"Elaeis",1,"TABANAN"
"Elapidae",1,"TABANAN"
"Electrical supply",1,"TABANAN"
"Ensete",1,"TABANAN"
"Fedora",1,"TABANAN"
"Fence",1,"TABANAN"
"Field trial",1,"TABANAN"
"Finger",1,"TABANAN"
"Finger food",1,"TABANAN"
"First-class cricket",1,"TABANAN"
"Flash photography",1,"TABANAN"
"Floor",1,"TABANAN"
"Floral design",1,"TABANAN"
"Floristry",1,"TABANAN"
"Freeway",1,"TABANAN"
"Frozen dessert",1,"TABANAN"
"Fruit",1,"TABANAN"
"Glass",1,"TABANAN"
"Glass bottle",1,"TABANAN"
"Goat",1,"TABANAN"
"Golf",1,"TABANAN"
"Golf club",1,"TABANAN"
"Golf course",1,"TABANAN"
"Golf equipment",1,"TABANAN"
"Golfer",1,"TABANAN"
"Greengrocer",1,"TABANAN"
"Grilling",1,"TABANAN"
"Hand fan",1,"TABANAN"
"Hat",1,"TABANAN"
"Hawker",1,"TABANAN"
"Headstone",1,"TABANAN"
"Health shake",1,"TABANAN"
"Herd",1,"TABANAN"
"History",1,"TABANAN"
"Houseplant",1,"TABANAN"
"Human",1,"TABANAN"
"Hunting dog",1,"TABANAN"
"Ice",1,"TABANAN"
"Icicle",1,"TABANAN"
"Ingredient",1,"TABANAN"
"Inn",1,"TABANAN"
"Island",1,"TABANAN"
"Japanese architecture",1,"TABANAN"
"Juice",1,"TABANAN"
"Jumping",1,"TABANAN"
"Kai ken",1,"TABANAN"
"Kennel",1,"TABANAN"
"Lawn",1,"TABANAN"
"Line",1,"TABANAN"
"Lingerie",1,"TABANAN"
"Little red flying fox",1,"TABANAN"
"Local food",1,"TABANAN"
"Long hair",1,"TABANAN"
"Lunch",1,"TABANAN"
"Majorelle blue",1,"TABANAN"
"Mammal",1,"TABANAN"
"Mansion",1,"TABANAN"
"Marguerite daisy",1,"TABANAN"
"Market",1,"TABANAN"
"Marketplace",1,"TABANAN"
"mayweed",1,"TABANAN"
"Memorial",1,"TABANAN"
"Midnight",1,"TABANAN"
"Moat",1,"TABANAN"
"Model",1,"TABANAN"
"Moss",1,"TABANAN"
"National park",1,"TABANAN"
"Natural foods",1,"TABANAN"
"Non-alcoholic beverage",1,"TABANAN"
"Non-vascular land plant",1,"TABANAN"
"Nonbuilding structure",1,"TABANAN"
"Norwich terrier",1,"TABANAN"
"Outdoor furniture",1,"TABANAN"
"Outerwear",1,"TABANAN"
"Pet supply",1,"TABANAN"
"Photo shoot",1,"TABANAN"
"Phragmites",1,"TABANAN"
"Physical fitness",1,"TABANAN"
"Pink",1,"TABANAN"
"Prairie",1,"TABANAN"
"Professional golfer",1,"TABANAN"
"Pub",1,"TABANAN"
"Public space",1,"TABANAN"
"Public utility",1,"TABANAN"
"Ravine",1,"TABANAN"
"Red",1,"TABANAN"
"Red sky at morning",1,"TABANAN"
"Relief",1,"TABANAN"
"Ritual",1,"TABANAN"
"Romance",1,"TABANAN"
"Running",1,"TABANAN"
"Sari",1,"TABANAN"
"Scooter",1,"TABANAN"
"Seabird",1,"TABANAN"
"Shade",1,"TABANAN"
"Skimboarding",1,"TABANAN"
"Small to medium-sized cats",1,"TABANAN"
"Snack",1,"TABANAN"
"Sport venue",1,"TABANAN"
"Sportswear",1,"TABANAN"
"Spring",1,"TABANAN"
"Square",1,"TABANAN"
"Stack",1,"TABANAN"
"Stage",1,"TABANAN"
"Stemware",1,"TABANAN"
"Stone wall",1,"TABANAN"
"Street dog",1,"TABANAN"
"Street food",1,"TABANAN"
"Street sign",1,"TABANAN"
"Style",1,"TABANAN"
"Sun hat",1,"TABANAN"
"Surfing",1,"TABANAN"
"Table",1,"TABANAN"
"Tavern",1,"TABANAN"
"Technology",1,"TABANAN"
"Terrestrial animal",1,"TABANAN"
"Terrestrial plant",1,"TABANAN"
"Tidal marsh",1,"TABANAN"
"Titan arum",1,"TABANAN"
"Toddler",1,"TABANAN"
"Tower",1,"TABANAN"
"Trail",1,"TABANAN"
"Tropical and subtropical coniferous forests",1,"TABANAN"
"Trunk",1,"TABANAN"
"Turban",1,"TABANAN"
"Turquoise",1,"TABANAN"
"Umbrella",1,"TABANAN"
"Undergarment",1,"TABANAN"
"Urban area",1,"TABANAN"
"Vascular plant",1,"TABANAN"
"Vespa",1,"TABANAN"
"Visual arts",1,"TABANAN"
"Water feature",1,"TABANAN"
"Watercolor paint",1,"TABANAN"
"Watercourse",1,"TABANAN"
"White",1,"TABANAN"
"Wildflower",1,"TABANAN"
"Wine",1,"TABANAN"
"Wire",1,"TABANAN"
"Yard",1,"TABANAN"
"Adventure",2,"TABANAN"
"Advertising",2,"TABANAN"
"Arch",2,"TABANAN"
"Astronomical object",2,"TABANAN"
"Backlighting",2,"TABANAN"
"Bank",2,"TABANAN"
"Bedrock",2,"TABANAN"
"Bird",2,"TABANAN"
"Botanical garden",2,"TABANAN"
"Cat",2,"TABANAN"
"Ceiling",2,"TABANAN"
"Costume",2,"TABANAN"
"Cuisine",2,"TABANAN"
"Darkness",2,"TABANAN"
"Daytime",2,"TABANAN"
"Dog breed",2,"TABANAN"
"Duck",2,"TABANAN"
"Fashion accessory",2,"TABANAN"
"Felidae",2,"TABANAN"
"Flowering plant",2,"TABANAN"
"Font",2,"TABANAN"
"Fortification",2,"TABANAN"
"frangipani",2,"TABANAN"
"Freshwater marsh",2,"TABANAN"
"Garden",2,"TABANAN"
"Geology",2,"TABANAN"
"Iron",2,"TABANAN"
"Landmark",2,"TABANAN"
"Love",2,"TABANAN"
"Milkshake",2,"TABANAN"
"Monument",2,"TABANAN"
"Mythology",2,"TABANAN"
"Nepenthes",2,"TABANAN"
"Overhead power line",2,"TABANAN"
"Panorama",2,"TABANAN"
"Pond",2,"TABANAN"
"Procyon",2,"TABANAN"
"Procyonidae",2,"TABANAN"
"Reflecting pool",2,"TABANAN"
"Rock python",2,"TABANAN"
"Sand",2,"TABANAN"
"Selling",2,"TABANAN"
"Serpent",2,"TABANAN"
"Shrub",2,"TABANAN"
"Silhouette",2,"TABANAN"
"Smoothie",2,"TABANAN"
"Star",2,"TABANAN"
"Suburb",2,"TABANAN"
"Thigh",2,"TABANAN"
"Tints and shades",2,"TABANAN"
"Vertebrate",2,"TABANAN"
"Viverridae",2,"TABANAN"
"Walking",2,"TABANAN"
"Water bird",2,"TABANAN"
"Whiskers",2,"TABANAN"
"Wilderness",2,"TABANAN"
"Wood",2,"TABANAN"
"Working animal",2,"TABANAN"
"Yellow",2,"TABANAN"
"Ancient history",3,"TABANAN"
"Attalea speciosa",3,"TABANAN"
"Bat",3,"TABANAN"
"Black",3,"TABANAN"
"Carving",3,"TABANAN"
"Chinese architecture",3,"TABANAN"
"Dusk",3,"TABANAN"
"Family",3,"TABANAN"
"Guard rail",3,"TABANAN"
"Happy",3,"TABANAN"
"Headgear",3,"TABANAN"
"Hill",3,"TABANAN"
"Human settlement",3,"TABANAN"
"Indian cobra",3,"TABANAN"
"Islet",3,"TABANAN"
"Lake",3,"TABANAN"
"Leg",3,"TABANAN"
"Lighting",3,"TABANAN"
"Metal",3,"TABANAN"
"Motor vehicle",3,"TABANAN"
"Mountain",3,"TABANAN"
"Outcrop",3,"TABANAN"
"People in nature",3,"TABANAN"
"Petal",3,"TABANAN"
"Road surface",3,"TABANAN"
"Screenshot",3,"TABANAN"
